,Con_1_1,Con_1_2,Con_2_1,Con_2_2,Con_1_3,Con_3_1,LPS_1_1,LPS_1_2,LPS_2_1,LPS_2_2,LPS_1_3,LPS_3_1
11-HETE_10.43,19.7044,18.3845,18.494,18.8775,19.1425,18.1221,20.4586,19.7253,19.1425,18.1221,20.4586,19.1425
12-HETE_10.571,23.6446,23.1392,22.3516,22.8739,22.9319,23.0139,24.131,23.7545,22.9319,23.0139,24.131,22.9319
12S-HETE-d8_10.515,20.0482,19.9207,19.8954,20.015,20.158,20.1079,20.3714,20.1938,20.158,20.1079,20.3714,20.158
13-HpODE_10.096,19.4181,19.8259,20.2568,19.2048,19.8939,19.6301,20.2017,20.1667,19.8939,19.6301,20.2017,19.8939
13-oxoODE_10.542,18.2795,18.2964,18.01,18.4022,18.9202,19.2543,19.4684,19.184,18.9202,19.2543,19.4684,18.9202
"14,15-DiHETrE-d11_8.817",17.3614,17.0251,17.5392,17.8145,17.102,17.0192,16.8924,16.9747,17.102,17.0192,16.8924,17.102
15-HETE_10.265,20.8882,19.8303,19.9656,20.389,20.4738,20.0892,21.3658,20.7924,20.4738,20.0892,21.3658,20.4738
15S-HETE-d8_10.205,19.9157,19.7715,19.7848,19.9032,19.9199,19.8169,20.1553,19.968,19.9199,19.8169,20.1553,19.9199
17-HDoHE_10.349,20.4459,19.1119,19.9769,19.9683,21.0933,20.0121,22.5897,21.6909,21.0933,20.0121,22.5897,21.0933
18-HETE_9.848,16.5691,16.1747,16.1637,16.167,16.2745,16.314,16.7829,16.5098,16.2745,16.314,16.7829,16.2745
18-Hydroxycortisol_exactMass_check_8.146,13.4336,16.4622,19.5195,20.2632,16.1686,18.1222,15.5239,17.6879,16.1686,18.1222,15.5239,16.1686
19-HETE_9.615,18.1558,17.7259,17.8194,18.1589,17.7486,17.8463,18.4445,17.9992,17.7486,17.8463,18.4445,17.7486
20-HDoHE_check_10.136,20.9427,20.0701,20.4371,20.373,20.8779,19.93,21.8449,21.3714,20.8779,19.93,21.8449,20.8779
5-HETE_10.772,21.8381,20.709,20.5634,20.7118,21.1463,20.6535,22.2411,21.7528,21.1463,20.6535,22.2411,21.1463
5-OXO-ETE_11.304,18.9268,19.0519,19.2675,18.8418,19.868,19.3555,19.6299,19.6743,19.868,19.3555,19.6299,19.868
5-Oxo-ETE-d7_11.246,20.8384,20.6744,20.8035,21.0944,20.6466,20.4639,20.5842,20.4444,20.6466,20.4639,20.5842,20.6466
5S-HETE-d8_10.719,20.3245,19.8635,20.0999,20.5317,20.3297,20.1588,20.0501,19.9281,20.3297,20.1588,20.0501,20.3297
8-iso-PGF2a-d4_4.864,17.3596,16.9053,17.6822,17.7854,17.2268,17.0118,16.9653,16.7584,17.2268,17.0118,16.9653,17.2268
9-HETE_10.682,19.3886,18.3797,18.5136,18.7682,18.8256,18.4635,20.5266,19.567,18.8256,18.4635,20.5266,18.8256
AA_12.72,27.0664,26.7352,26.9631,26.9305,27.3085,27.28,27.1025,27.1244,27.3085,27.28,27.1025,27.3085
AA_12.939,19.1488,18.3386,19.813,21.2377,20.0677,19.914,17.8193,18.4709,20.0677,19.914,17.8193,20.0677
Adrenic acid_13.278,19.9722,19.8276,20.2761,20.0797,20.0983,20.289,20.124,19.756,20.0983,20.289,20.124,20.0983
C18_3DB_12.287,18.4804,18.5862,18.8422,18.1798,19.6215,19.4307,19.3637,19.3559,19.6215,19.4307,19.3637,19.6215
C18_3DB_12.384,18.9057,18.5799,18.6228,18.4992,19.5752,19.5593,19.5997,19.5245,19.5752,19.5593,19.5997,19.5752
DHA_12.562,27.5684,27.3979,27.681,27.5324,27.9265,27.4175,27.6113,27.4812,27.9265,27.4175,27.6113,27.9265
DPA_12.821,24.5903,24.7633,25.3712,24.3012,25.3211,24.7278,24.7295,24.8799,25.3211,24.7278,24.7295,25.3211
DPA_12.993,22.009,21.7714,21.5426,22.1421,21.9946,22.3675,22.2724,22.0705,21.9946,22.3675,22.2724,21.9946
EPA_12.167,25.7642,25.5474,25.8369,25.1307,26.6989,25.7454,25.8969,26.204,26.6989,25.7454,25.8969,26.6989
Hexadecanedioic acid_5.726,17.7752,17.9734,18.1931,17.3232,18.0022,18.0394,18.1631,18.3732,18.0022,18.0394,18.1631,18.0022
Hexadecanedioic acid_6.103,18.0867,17.1833,19.2722,18.6761,18.6339,18.2295,17.9336,17.75,18.6339,18.2295,17.9336,18.6339
Linoleic acid_13.029,17.8456,17.3805,17.4419,17.1728,18.8405,19.361,19.564,19.2214,18.8405,19.361,19.564,18.8405
Linoleic acid_12.859,22.2971,21.8272,22.4283,22.2399,22.2445,22.6429,22.56,22.2415,22.2445,22.6429,22.56,22.2445
