lipids ,S1 ,S2 ,S3 ,S4 ,S5 ,S6 ,S7 ,S8 ,S9 ,S10 ,S11 ,S12 ,S13 ,S14 ,S15 ,S16 ,S17 ,S18 ,S19 ,S20
LPC 20:5,15.54984244,16.15909439,16.68173958,15.9904376,16.14760534,15.56476273,16.95787552,16.88333247,16.30079789,15.59696855,14.98106285,16.05879123,16.27987945,17.53692548,14.6528343,16.41212149,13.24530489,18.36766212,14.1107864,15.95273703
LPS 22:6,12.23883487,12.03521304,12.64887104,12.08960238,12.0338172,12.08913125,10.27710286,11.47005464,13.37685123,9.618308469,11.88660517,12.27125922,12.87003622,13.33527918,12.7789155,11.02567621,12.62176541,12.31754867,12.37684056,11.76828671
PC 32:0,12.96585469,11.01717789,12.71466132,13.39129521,13.52108527,12.53374545,14.24847081,11.91428606,12.92179172,13.09923154,10.91866077,14.33760023,12.89076019,13.06873184,14.07822397,11.81542722,11.02327694,8.484046713,14.26467307,12.85466654
PPE 38:5,10.65101264,11.68595336,9.466494162,14.65341237,12.03154739,8.214110725,13.89308621,12.11862839,11.92093743,9.673518104,10.49611827,12.25018099,12.03650308,10.39581564,12.33236896,11.74644658,9.995174707,5.77521071,15.70154903,10.30008578
dCer 15:0,10.79446838,12.20326689,9.609920912,14.97363977,11.72458479,10.35060336,14.45227846,12.95866382,12.03591755,10.69074923,9.875775967,12.05382281,14.1228864,10.90706928,12.61366697,12.75456662,9.750112365,10.58680566,15.27262468,10.42714697
LPS 18:0,15.68622806,14.43503079,14.5108083,15.55076801,15.49588736,14.76877865,16.18489057,14.00586411,14.83741212,14.95063453,14.20632222,16.42042567,13.6821696,14.12918783,15.93574549,15.4683947,15.38240834,9.836389271,13.97692286,13.59959142
CE 20:0 ,12.32817325,12.77591724,12.49253053,11.48766636,12.37831264,11.98280819,12.61057665,14.15011903,11.78213307,14.56457993,12.99626574,12.08091674,12.5602538,13.12030909,12.16434038,13.06059443,11.33310523,15.26943875,12.86291953,12.35595457
CE 20:4 ,9.954960957,9.372321376,8.505282356,14.84632321,8.050244467,5.38983709,12.73450418,10.74306685,10.03152722,7.11587101,8.745448124,9.854107067,9.245582017,7.505775879,9.907674039,9.219139366,7.493640312,11.89195371,15.41521637,8.11559987
LPC (20:5)_1,13.88935505,14.17470503,15.45508644,14.36944521,16.05826467,16.01579054,13.30311395,15.53739452,15.92860234,18.03188991,16.03231981,15.59505682,13.31330512,15.73072235,16.4091071,13.39151433,16.22729019,13.18075427,11.88343221,14.62300011
DG 14:0/16:1/0:0 ,13.92402363,13.59623286,15.14965144,13.22421976,16.47016035,16.82453555,12.52754736,15.15774209,15.21677865,18.12636505,16.01139941,15.68147081,14.12916708,14.90322828,15.77757629,12.92959635,16.15395168,13.08745336,11.79190771,15.45660083
DG 14:1/16:0/0:0 ,13.92945983,13.59937429,15.15711561,13.22074015,16.47077715,16.8249321,12.54427838,15.15899784,15.21856408,18.13407819,16.03092762,15.68646885,14.13234177,14.91293734,15.76797877,12.94486036,16.15332734,13.05815455,11.65135305,15.46041287
DG 12:0/18:2/0:0 ,12.44751903,12.41545152,13.65565199,11.33454214,16.08246677,16.1502846,12.03869464,14.12340496,13.79721876,16.39645169,15.74538693,14.2829045,13.92348663,14.37498384,14.74404508,11.31226233,14.75768194,12.68253693,10.8323738,14.37480545
DG 15:0/16:0/0:0 ,10.37219729,11.75004378,13.80664032,11.44991387,13.57010841,13.56089178,10.72245623,12.2971609,13.98273037,14.35564452,11.11166286,13.36916091,12.02402137,14.24764574,13.297242,10.08655441,12.9743998,10.3944823,11.23152664,12.30313276
